27,16,36,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
28,35,50,,,,,,
24,11,50,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",,
19,42,41,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",,,,
42,10,51,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",,
31,25,7,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
45,40,6,,,,,Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
26,45,48,,,,,,
47,8,10,,,Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
0.0267759,0.029417964,0.029848138,Urea (46% N) or Ammonium Nitrate,"Compost, Vermicompost, or Cow Manure",Single Super Phosphate (SSP) or DAP,"Bone Meal, Rock Phosphate",Muriate of Potash (MOP) or Sulfate of Potash,"Wood Ash, Banana Peel Fertilizer"
